date,time,tweets
,3:26 p.m.,"Getting ready to leave for Melbourne, Florida. See you all soon!"
Feb. 19,4:57 p.m.,My statement as to what’s happening in Sweden was in reference to a story that was broadcast on @FoxNews concerning immigrants & Sweden.
Feb. 20,9:15 a.m.,Give the public a break - The FAKE NEWS media is trying to say that large scale immigration in Sweden is working out just beautifully. NOT!
Feb. 20,9:33 a.m.,HAPPY PRESIDENTS DAY - MAKE AMERICA GREAT AGAIN!
,2:33 p.m.,Meeting with Generals at Mar-a-Lago in Florida. Very interesting!
Feb. 20,4:00 p.m.,Just named General H.R. McMaster National Security Advisor.
Feb. 20,7:38 p.m.,"Congratulations to our new National Security Advisor, General H.R. McMaster. Video: facebook.com/DonaldTrump/vi…"
Feb. 21,3:46 p.m.,‘Americans overwhelmingly oppose sanctuary cities’ thehill.com/homenews/adm...
Feb. 21,6:23 p.m.,"The so-called angry crowds in home districts of some Republicans are actually, in numerous cases, planned out by liberal activists. Sad!"
Feb. 22,7:20 a.m.,"One thing I will say about Rep. Keith Ellison, in his fight to lead the DNC, is that he was the one who predicted early that I would win!"
Feb. 22,7:50 a.m.,Very much enjoyed my tour of the Smithsonian’s National Museum of African American History and Culture...A great job done by amazing people!
Feb. 23,5:53 p.m.,‘S&P; 500 Edges Higher After Trump Renews Jobs Pledge’ foxbusiness.com/markets/20...
Feb. 23,7:01 p.m.,Seven people shot and killed yesterday in Chicago. What is going on there - totally out of control. Chicago needs help!
Feb. 23,7:06 p.m.,Big interview tonight by Henry Kravis at The Business Council of Washington. Looking forward to it!
Feb. 24,7:31 a.m.,The FBI is totally unable to stop the national security “leakers” that have permeated our government for a long time. They can’t even......
Feb. 24,7:36 a.m.,find the leakers within the FBI itself. Classified information is being given to media that could have a devastating effect on U.S. FIND NOW
Feb. 24,8:49 a.m.,Going to CPAC!
Feb. 24,12:04 p.m., Trump vows to fight ‘epidemic’ of human trafficking bigstory.ap.com/arti...
Feb. 24,10:09 p.m., FAKE NEWS media knowingly doesn’t tell the truth. A great danger to our country. The failing @nytimes has become a joke. Likewise @CNN. Sad!
Feb. 25,7:25 a.m.,Maybe the millions of people who voted to MAKE AMERICA GREAT AGAIN should have their own rally. It would be the biggest of them all!
Feb. 25,8:19 a.m.,The media has not reported that the National Debt in my first month went down by $12 billion vs a $200 billion increase in Obama first mo.
Feb. 25,8:27 a.m.,"Great optimism for future of U.S. business, AND JOBS, with the DOW having an 11th straight record close. Big tax & regulation cuts coming!"
Feb. 25,1:12 p.m.,Weekly Address from @WhiteHouse: 45.wh.gov/Z6FYHt
Feb. 25,4:53 p.m.,I will not be attending the White House Correspondents’ Association Dinner this year. Please wish everyone well and have a great evening!
Feb. 25,5:02 p.m.,"Congratulations to Thomas Perez, who has just been named Chairman of the DNC. I could not be happier for him, or for the Republican Party!"
Feb. 26,6:33 a.m.,"The race for DNC Chairman was, of course, totally “rigged.” Bernie’s guy, like Bernie himself, never had a chance. Clinton demanded Perez!"
Feb. 26,6:42 a.m.,For first time the failing @nytimes will take an ad (a bad one) to help save its failing reputation. Try reporting accurately & fairly!
Feb. 26,1:16 p.m.,"Russia talk is FAKE NEWS put out by the Dems, and played up by the media, in order to mask the big election defeat and the illegal leaks!"
Feb. 26,3:13 p.m.,"Big dinner with Governors tonight at White House. Much to be discussed, including healthcare."
Feb. 27,12:06 p.m., Great meeting with CEOs of leading U.S. health insurance companies who provide great healthcare to the American people.
Feb. 27,4:48 p.m.,"GOP now viewed more favorably than Dems, in Trump era (per NBC/WSJ poll) via @HotlineJosh: scribd.com/docu..."
Feb. 27,9:43 p.m.,I will be interviewed on @foxandfriends at 6:00 A.M. Enjoy!
Feb. 28,8:30 p.m.,Join me live at 9:00 P.M. #JointAddress 45.wh.gov/eXTTGS
Feb. 28,8:42 p.m.,#JointSession #MAGA jointsession.twitter.com
March 1,8:38 a.m.,THANK YOU!
March 2,6:00 a.m.,"Since November 8th, Election Day, the Stock Market has posted $3.2 trillion in GAINS and consumer confidence is at a 15 year high. Jobs!"
March 2,9:22 p.m.,"Jeff Sessions is an honest man. He did not say anything wrong. He could have stated his response more accurately, but it was clearly not...."
March 2,9:27 p.m.,...intentional. This whole narrative is a way of saving face for Democrats losing an election that everyone thought they were supposed.....
March 2,9:35 p.m.,"...to win. The Democrats are overplaying their hand. They lost the election, and now they have lost their grip on reality. The real story..."
March 2,9:38 p.m.,...is all of the illegal leaks of classified and other information. It is a total “witch hunt!”
March 3,7:00 a.m.,"Nick Adams new book, Green Card Warrior, is a must read. The merit-based system is the way to go. Canada, Australia! @foxandfriends"
March 3,7:19 a.m.,It is so pathetic that the Dems have still not approved my full Cabinet.
